respondent,group,questionnaire,submitted_timestamp,source_path,question_code,question_text,type,subscale,category,accuracy,stimulus_form,stimulus_title,response_raw,response_clean,response_numeric,score_value,score_confidence,score_method,score_explanation
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,14.1,14.1. How confident are you in your answer? Please rate your confidence below.,likert,recall,target,,Short,The Town,3 = Confident,3 = Confident,3.0,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,15,15. Did you understand the scene while watching it last week?,binary,comprehension,target,,Short,The Town,4 = Understood it without issue,4 = Understood it without issue,,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,15.1,15.1. What helped your understanding?,open-ended,comprehension,target,,Short,The Town,the nuns costume or disguise,the nuns costume or disguise,,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,16,"16. Consider the image above. Thinking back to the videos you watched last week, what emotions do you remember feeling during this scene? Select all options that apply.",multiple,emotion,target,,Short,The Town,"Excitement, Calm","Excitement, Calm",,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,17,17. How easy or difficult was it to remember details from this scene?,likert,strength,target,,Short,The Town,4 = Very easy,4 = Very easy,4.0,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,18,"18. Overall, how well do you think you remembered the video content from last week?",,,,,,,4 = Extremely well,4 = Extremely well,,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,19,19. How confident are you in your answers on this questionnaire?,,,,,,,3 = Confident,3 = Confident,,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,2.1,2.1. Did you see this scene in the videos you watched last week?,binary,recognition,fake,miss,,Goodfellas,Yes,Yes,1.0,0.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,2.2,2.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,fake,miss,,Goodfellas,4 = Extremely confident,4 = Extremely confident,4.0,4.0,4.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,2.3,2.3. This scene was not in the videos you watched last week. What best explains why you thought it was? Please choose from the options below.,multiple,recognition,fake,miss,,Goodfellas,1 = The image looked familiar,1 = The image looked familiar,,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,3.1,3.1. Did you see this scene in the videos you watched last week?,binary,recognition,distractor,hit,Short,The Notebook,No,No,0.0,0.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,3.2,3.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,distractor,hit,Short,The Notebook,3 = Confident,3 = Confident,3.0,3.0,3.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,3.3,3.3. This scene was part of the videos you watched last week. What best explains why you didn’t remember it? Please choose from the options below.,likert,recognition,distractor,hit,Short,The Notebook,2 = The scene didn't seem memorable,2 = The scene didn't seem memorable,2.0,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,4.1,4.1. Did you see this scene in the videos you watched last week?,binary,recognition,key,hit,Long,Abbot Elementary,Yes,Yes,1.0,1.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,4.2,4.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,key,hit,Long,Abbot Elementary,4 = Extremely confident,4 = Extremely confident,4.0,4.0,4.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,5.1,5.1. Did you see this scene in the videos you watched last week?,binary,recognition,unseen,miss,Short,The Town,Yes,Yes,1.0,0.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,5.2,5.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,unseen,miss,Short,The Town,4 = Extremely confident,4 = Extremely confident,4.0,4.0,4.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,5.3,5.3. This scene was not in the videos you watched last week. What best explains why you thought it was? Please choose from the options below.,likert,recognition,unseen,miss,Short,The Town,4 = The image matched the tone I remembered,4 = The image matched the tone I remembered,4.0,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,6.1,6.1. Did you see this scene in the videos you watched last week?,binary,recognition,fake,miss,,Seinfeld,No,No,0.0,,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,6.2,6.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,fake,miss,,Seinfeld,3 = Confident,3 = Confident,3.0,,,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,7.1,7.1. Did you see this scene in the videos you watched last week?,binary,recognition,seen,hit,Long,Abbot Elementary,Yes,Yes,1.0,1.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,7.2,7.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,seen,hit,Long,Abbot Elementary,3 = Confident,3 = Confident,3.0,3.0,3.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,8,"8. What happened in the scene? Please write a brief summary as accurately as you can. Try to include the main events and any key characters you remember. It’s okay if you don’t remember everything, just do your best.",,,,,,,he doesn't like to eat pizza,he doesn't like to eat pizza,,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,8.1,8.1. How confident are you in your answer? Please rate your confidence below.,,,,,,,4 = Extremely confident,4 = Extremely confident,,,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,9,9. What happens at the end of this scene?,,,,,,,A. Gregory leaves the room,A. Gregory leaves the room,,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,9.1,9.1. How confident are you in your answer? Please rate your confidence below.,,,,,,,3 = Confident,3 = Confident,,,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,,Please enter your participant number. You received your participant number in the email that included the link to this survey. Please enter it exactly as shown in that email.,open-ended,,,,,,1,1,,,,,
1,C,Post,2025-10-15 13:56:04,data/Post/Group C_Post Viewing Questionnaire Part Two.csv,,Timestamp,,,,,,,10/15/2025 13:56:04,10/15/2025 13:56:04,,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,1.1,1.1. Did you see this scene in the videos you watched last week?,binary,recognition,key,hit,Short,The Town,Yes,Yes,1.0,1.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,1.2,1.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,key,hit,Short,The Town,3 = Confident,3 = Confident,3.0,3.0,3.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,10.1,10.1. Did you see this scene in the videos you watched last week?,binary,recognition,distractor,hit,,Ironman,Yes,Yes,1.0,,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,10.2,10.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,distractor,hit,,Ironman,3 = Confident,3 = Confident,3.0,,,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,11.1,11.1. Did you see this scene in the videos you watched last week?,binary,recognition,fake,miss,,A Star Is Born,No,No,0.0,1.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,11.2,11.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,fake,miss,,A Star Is Born,3 = Confident,3 = Confident,3.0,3.0,3.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,12.1,12.1. Did you see this scene in the videos you watched last week?,binary,recognition,distractor2,hit,,Ironman,Yes,Yes,1.0,,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,12.2,12.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,distractor2,hit,,Ironman,4 = Extremely confident,4 = Extremely confident,4.0,,,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,13,"13. What happened in the scene? Please write a brief summary as accurately as you can. Try to include the main events and any key characters you remember. It’s okay if you don’t remember everything, just do your best.",open-ended,recall,target,,Short,The Town,"This was the beginning of a bank truck robbery, there was a shoot out followed by a car chase thru the city using their minivan and after being chased by the police,  they managed to block the police and escape in a vehicle.  Finally towards the end the switched cars and at the end they burned a car.","This was the beginning of a bank truck robbery, there was a shoot out followed by a car chase thru the city using their minivan and after being chased by the police,  they managed to block the police and escape in a vehicle.  Finally towards the end the switched cars and at the end they burned a car.",,80.0,90.0,stage5_recall_keymoment,"The participant recalls the armored truck robbery, the shootout, the car chase in the minivan, the police pursuit, the vehicle switch, and burning the car. However, details about the nun masks, the guards' resistance, and the specific sequence of the escape are missing or vague, but the main actions and order are correct."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,13.1,13.1. How confident are you in your answer? Please rate your confidence below.,likert,recall,target,,Short,The Town,1 = Not at all confident,1 = Not at all confident,1.0,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,14,14. What happens at the end of this scene?,multiple,recall,target,,Short,The Town,C. They escape in a stolen police car,C. They escape in a stolen police car,,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,14.1,14.1. How confident are you in your answer? Please rate your confidence below.,likert,recall,target,,Short,The Town,3 = Confident,3 = Confident,3.0,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,15,15. Did you understand the scene while watching it last week?,binary,comprehension,target,,Short,The Town,4 = Understood it without issue,4 = Understood it without issue,,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,15.1,15.1. What helped your understanding?,open-ended,comprehension,target,,Short,The Town,The action of the movie was engaging so I paid more attention to what was going on.,The action of the movie was engaging so I paid more attention to what was going on.,,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,16,"16. Consider the image above. Thinking back to the videos you watched last week, what emotions do you remember feeling during this scene? Select all options that apply.",multiple,emotion,target,,Short,The Town,"Excitement, Suspense","Excitement, Suspense",,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,17,17. How easy or difficult was it to remember details from this scene?,likert,strength,target,,Short,The Town,3 = Easy,3 = Easy,3.0,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,18,"18. What happened in the scene? Please write a brief summary as accurately as you can. Try to include the main events and any key characters you remember. It’s okay if you don’t remember everything, just do your best.",open-ended,recall,target,,Long,Mad Max,This chase scene was about a battle to catch Imperator Furiosa and then there was another gang that intercepted them and the fight began. Rocky was hood ornament.  Furious was trying to get the big truck rig away to free the women inside to keep them from prison with the weird old guy who kept them enslaved as breeders.,This chase scene was about a battle to catch Imperator Furiosa and then there was another gang that intercepted them and the fight began. Rocky was hood ornament.  Furious was trying to get the big truck rig away to free the women inside to keep them from prison with the weird old guy who kept them enslaved as breeders.,,40.0,90.0,stage5_recall_keymoment,"The participant recognizes the general context of a chase and battle involving Furiosa and another gang, and mentions the War Rig and the goal of freeing the women. However, they do not recall the specific Buzzard attack, the high-speed battle details, the War Boys’ actions, or the suicide attack, which are the core events of the key moment."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,18.1,18.1. How confident are you in your answer? Please rate your confidence below.,likert,recall,target,,Long,Mad Max,4 = Extremely confident,4 = Extremely confident,4.0,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,19,19. What happens at the end of this scene?,multiple,recall,target,,Long,Mad Max,C. Furiosa and her crew successfully protect their rig and drive away,C. Furiosa and her crew successfully protect their rig and drive away,,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,19.1,19.1. How confident are you in your answer? Please rate your confidence below.,likert,recall,target,,Long,Mad Max,2 = Somewhat confident,2 = Somewhat confident,2.0,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,2.1,2.1. Did you see this scene in the videos you watched last week?,binary,recognition,fake,miss,,The Dark Knight,No,No,0.0,,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,2.2,2.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,fake,miss,,The Dark Knight,3 = Confident,3 = Confident,3.0,,,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,20,20. Did you understand the scene while watching it last week?,binary,comprehension,target,,Long,Mad Max,3 = Understood it well,3 = Understood it well,,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,20.1,20.1. What helped your understanding?,open-ended,comprehension,target,,Long,Mad Max,Watching the movie it sort of followed the plot line. It was a little hard to follow at times,Watching the movie it sort of followed the plot line. It was a little hard to follow at times,,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,21,"21. Consider the image above. Thinking back to the videos you watched last week, what emotions do you remember feeling during this scene? Select all options that apply.",multiple,emotion,target,,Long,Mad Max,"Suspense, Amusement","Suspense, Amusement",,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,22,22. How easy or difficult was it to remember details from this scene?,likert,strength,target,,Long,Mad Max,3 = Easy,3 = Easy,3.0,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,23,"23. Overall, how well do you think you remembered the video content from last week?",likert,general,,,,,2 = Somewhat well,2 = Somewhat well,2.0,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,24,24. How confident are you in your answers on this questionnaire?,likert,general,,,,,3 = Confident,3 = Confident,3.0,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,25,"25. Did you watch ""The Town"" again after the session last week?",binary,watch,,,,,No,No,0.0,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,26,"26. Did you watch ""Mad Max: Fury Road"" again after the session last week?",binary,watch,,,,,No,No,0.0,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,3.1,3.1. Did you see this scene in the videos you watched last week?,binary,recognition,distractor,hit,Short,The Notebook,Yes,Yes,1.0,1.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,3.2,3.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,distractor,hit,Short,The Notebook,4 = Extremely confident,4 = Extremely confident,4.0,4.0,4.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,4.1,4.1. Did you see this scene in the videos you watched last week?,binary,recognition,key,hit,Long,Mad Max,Yes,Yes,1.0,1.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,4.2,4.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,key,hit,Long,Mad Max,4 = Extremely confident,4 = Extremely confident,4.0,4.0,4.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,5.1,5.1. Did you see this scene in the videos you watched last week?,binary,recognition,unseen,miss,Short,The Town,No,No,0.0,1.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,5.2,5.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,unseen,miss,Short,The Town,3 = Confident,3 = Confident,3.0,3.0,3.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,6.1,6.1. Did you see this scene in the videos you watched last week?,binary,recognition,fake,miss,,Titanic,No,No,0.0,,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,6.2,6.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,fake,miss,,Titanic,3 = Confident,3 = Confident,3.0,,,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,7.1,7.1. Did you see this scene in the videos you watched last week?,binary,recognition,seen,hit,Long,Mad Max,Yes,Yes,1.0,1.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,7.2,7.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,seen,hit,Long,Mad Max,4 = Extremely confident,4 = Extremely confident,4.0,4.0,4.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,8.1,8.1. Did you see this scene in the videos you watched last week?,binary,recognition,fake,miss,,Friends,No,No,0.0,1.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,8.2,8.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,fake,miss,,Friends,4 = Extremely confident,4 = Extremely confident,4.0,4.0,4.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,9.1,9.1. Did you see this scene in the videos you watched last week?,binary,recognition,seen,hit,Short,The Town,No,No,0.0,0.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,9.2,9.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,seen,hit,Short,The Town,2 = Somewhat confident,2 = Somewhat confident,2.0,2.0,2.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,9.3,9.3. This scene was part of the videos you watched last week. What best explains why you didn’t remember it? Please choose from the options below.,likert,recognition,seen,hit,Short,The Town,2 = The scene didn't seem memorable,2 = The scene didn't seem memorable,2.0,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,,Please enter your participant number. You received your participant number in the email that included the link to this survey. Please enter it exactly as shown in that email.,open-ended,,,,,,10,10,,,,,
10,B,Post,2025-10-19 13:54:58,data/Post/Group B_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,,Timestamp,,,,,,,10/19/2025 13:54:58,10/19/2025 13:54:58,,,,,
100,E,Post,2025-10-25 16:21:27,data/Post/Group E_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,1.1,1.1. Did you see this scene in the videos you watched last week?,binary,recognition,key,hit,Long,Mad Max,Yes,Yes,1.0,1.0,,stage3_recognition_binary,"Stage 3 recognition correctness (1 = aligns with accuracy expectation, 0 = incorrect)."
100,E,Post,2025-10-25 16:21:27,data/Post/Group E_ Post Viewing Questionnaire Part Two (Responses) - Form Responses 1.csv,1.2,1.2. How confident are you in your answer? Please rate your confidence below.,likert,recognition,key,hit,Long,Mad Max,4 = Extremely confident,4 = Extremely confident,4.0,4.0,4.0,stage3_recognition_confidence,Stage 3 recognition confidence parsed to a 0-4 scale.
