respondent,survey_group,survey_study,survey_gender,survey_age,survey_file,Long_The Town_Survey_Enjoyment_E16,Short_Mad Max_Survey_Enjoyment_E16,Long_Mad Max_Survey_Enjoyment_E16,Short_The Town_Survey_Enjoyment_E16,Long_Abbot Elementary_Survey_Enjoyment_E16,Short_Abbot Elementary_Survey_Enjoyment_E16
10,Default,Group B,MALE,65,MERGED_SURVEY_RESPONSE_MATRIX-B2.txt,,,"fascinated, enthralled, sympathetic","suspenseful, excited, eager to see how the movie ends",,
88,Default,Group C,MALE,41,MERGED_SURVEY_RESPONSE_MATRIX-C1.txt,,,,excitement,,
105,Default,Group C,FEMALE,55,MERGED_SURVEY_RESPONSE_MATRIX-C1.txt,,,,"Nervous, anxious",joyful and happy ,
103,Default,Group C,FEMALE,46,MERGED_SURVEY_RESPONSE_MATRIX-C1.txt,,,,actually i have seen this movie several times it is one of me and my husband's favorite movies from starring ben aflek this is one of the greatest action scenes in the town,this video made me feel amused and excited ,
62,Default,Group C,FEMALE,38,MERGED_SURVEY_RESPONSE_MATRIX-C1.txt,,,,"suspense, anxious about the outcome","happy, silly",
93,Default,Group C,FEMALE,26,MERGED_SURVEY_RESPONSE_MATRIX-C1.txt,,,,Excitement,"Happiness, more specifically humorous as it had me laughing",
16,Default,Group C,OTHER,27,MERGED_SURVEY_RESPONSE_MATRIX-C1.txt,,,,i had a lot of suspense as i was anxious about how they would escape or get caught,,
13,Default,Group C,MALE,31,MERGED_SURVEY_RESPONSE_MATRIX-C1.txt,,,,suspense about how they might get away.,I felt boredom and wanting to watch something else. ,
1,Default,Group C,MALE,63,MERGED_SURVEY_RESPONSE_MATRIX-C1.txt,,,,i was excited to watch all the action and drama in the movie ,,
114,Default,Group C,FEMALE,58,MERGED_SURVEY_RESPONSE_MATRIX-C2.txt,,,,a little sad,happy & interested. I loved narration & the dynamic of the different personalites.,
82,Default,Group C,MALE,67,MERGED_SURVEY_RESPONSE_MATRIX-C2.txt,,,,I love action movies because they allow me to forget about the stresses of the day/week.,,
101,Default,Group C,MALE,67,MERGED_SURVEY_RESPONSE_MATRIX-C2.txt,,,,excited,This show made me laugh and i felt joy.,
63,Default,Group C,MALE,45,MERGED_SURVEY_RESPONSE_MATRIX-C2.txt,,,,"suspense, anticipation",,
59,Default,Group C,FEMALE,69,MERGED_SURVEY_RESPONSE_MATRIX-C2.txt,,,,"The movie held my attention because there was a lot of action and suspension in terms of the bank robbers getting away.  I didn't want anyone to get hurt; however, I was hoping the bank robbers would get away (:>)",,
43,Default,Group C,MALE,47,MERGED_SURVEY_RESPONSE_MATRIX-C2.txt,,,,It made me feel like I was watching something suspenseful.,,
89,Default,Group C,FEMALE,60,MERGED_SURVEY_RESPONSE_MATRIX-C2.txt,,,,on the edge of my seat,happy and entertained,
6,Default,Group C,OTHER,26,MERGED_SURVEY_RESPONSE_MATRIX-C2.txt,,,,Excitement,"Amusement, and second hand embaressment",
115,Default,Group D,MALE,44,MERGED_SURVEY_RESPONSE_MATRIX-D1.txt,Excited,,,,,
111,Default,Group D,FEMALE,50,MERGED_SURVEY_RESPONSE_MATRIX-D1.txt, I felt disappointed and sad when people were murdered during the robbery. I felt suspense during the car chase. ,,,,,
76,Default,Group D,MALE,41,MERGED_SURVEY_RESPONSE_MATRIX-D1.txt,Suspenseful and engaged,,,,,
67,Default,Group D,FEMALE,60,MERGED_SURVEY_RESPONSE_MATRIX-D1.txt,Tense,,,,,
66,Default,Group D,FEMALE,64,MERGED_SURVEY_RESPONSE_MATRIX-D1.txt,wonmdering if they get caught and if the couple stays together,,,,,
91,Default,Group D,MALE,69,MERGED_SURVEY_RESPONSE_MATRIX-D1.txt,Exited and action packed visual,,,,,The characters were relatable
19,Default,Group D,FEMALE,29,MERGED_SURVEY_RESPONSE_MATRIX-D1.txt,"Edge of my seat, heavy heartbeat, suspense",,,,,
4,Default,Group D,MALE,60,MERGED_SURVEY_RESPONSE_MATRIX-D1.txt,entertained and enjoying the story,,,,,entertained and worth watching
102,Default,Group D,MALE,37,MERGED_SURVEY_RESPONSE_MATRIX-D2.txt,"This video made me feel surprised, happy, sad, and excited. ",,,,,The video made me feel a extreme amount of laughter.
72,Default,Group D,FEMALE,52,MERGED_SURVEY_RESPONSE_MATRIX-D2.txt,Made me laugh and was riveting at times,,,,,made me smile and chuckle; felt happy.
68,Default,Group D,FEMALE,20,MERGED_SURVEY_RESPONSE_MATRIX-D2.txt,"I felt excitement and humor during certain parts. Overall, I felt excitement and some suspense.",,,,,I felt the emotions shown in the clip: second-hand embarrassment and surprise
94,Default,Group D,MALE,28,MERGED_SURVEY_RESPONSE_MATRIX-D2.txt,all of the emotions described! Lots of ACTION AND ROMANCE!,,,,,funny/happy 
92,Default,Group D,MALE,57,MERGED_SURVEY_RESPONSE_MATRIX-D2.txt,This video made me feel engaged and it was nice to step out of reality for a short period of time. ,,,,,It made me feel hungry and thrown off a bit. Like I wasn't expecting that. 
51,Default,Group D,MALE,54,MERGED_SURVEY_RESPONSE_MATRIX-D2.txt,"Anxious, tense, fearful for the characters",,,,,
46,Default,Group D,OTHER,28,MERGED_SURVEY_RESPONSE_MATRIX-D2.txt,"excited, intense and on the edge of my seat, also feel attached to the characters ",,,,,"entertained, it was funny"
2,Default,Group D,MALE,38,MERGED_SURVEY_RESPONSE_MATRIX-D2.txt,Interested on seeing the end.,,,,,It was kinda funny.
86,Default,Group E,MALE,25,MERGED_SURVEY_RESPONSE_MATRIX-E1.txt,,,,,,
79,Default,Group E,FEMALE,31,MERGED_SURVEY_RESPONSE_MATRIX-E1.txt,,,thrilled ,,,hungry
69,Default,Group E,OTHER,67,MERGED_SURVEY_RESPONSE_MATRIX-E1.txt,,,"it was confusing, It was very violent I did not know where they were headed and why  ",,,for one I liked 2 of  the characters. I was questioning why the young man did not like pizza
97,Default,Group E,FEMALE,32,MERGED_SURVEY_RESPONSE_MATRIX-E1.txt,,,Squemish,,,
40,Default,Group E,FEMALE,61,MERGED_SURVEY_RESPONSE_MATRIX-E1.txt,,,"excited, interested",,,
36,Default,Group E,FEMALE,55,MERGED_SURVEY_RESPONSE_MATRIX-E1.txt,,,"It was a lot action, I like a great action movie. I was wondering what was going to happen next. ",,,"it was very entertaining , and funny."
9,Default,Group E,FEMALE,42,MERGED_SURVEY_RESPONSE_MATRIX-E1.txt,,,suspense,,,
108,Default,Group E,FEMALE,27,MERGED_SURVEY_RESPONSE_MATRIX-E2.txt,,,Excitement and anxiety,,,
84,Default,Group E,MALE,67,MERGED_SURVEY_RESPONSE_MATRIX-E2.txt,,,tense and excited,,,
80,Default,Group E,MALE,25,MERGED_SURVEY_RESPONSE_MATRIX-E2.txt,,,I felt suspense during some of the action packed scenes.,,,
100,Default,Group E,FEMALE,25,MERGED_SURVEY_RESPONSE_MATRIX-E2.txt,,,"suspenseful, on the edge of my seat, curious what would happen next",,,giddy and humored
49,Default,Group E,MALE,66,MERGED_SURVEY_RESPONSE_MATRIX-E2.txt,,,Excited for the charecters,,,
20,Default,Group E,FEMALE,19,MERGED_SURVEY_RESPONSE_MATRIX-E2.txt,,,,,,grossed when the slice of pizza was held up
74,Default,Group E,MALE,62,MERGED_SURVEY_RESPONSE_MATRIX-E2.txt,,,,,,
117,Default,Group F,MALE,44,MERGED_SURVEY_RESPONSE_MATRIX-F1.txt,,,,,the video made me feel happy,
113,Default,Group F,MALE,56,MERGED_SURVEY_RESPONSE_MATRIX-F1.txt,,"tense, eager to see what happens next",,,"neither happy nor sad, but I  empathized with the some of the scenes.",
109,Default,Group F,MALE,47,MERGED_SURVEY_RESPONSE_MATRIX-F1.txt,,excited,,,it made me feel like dancing,
60,Default,Group F,MALE,66,MERGED_SURVEY_RESPONSE_MATRIX-F1.txt,,suspenseful ,,,That you can have faith in people,
50,Default,Group F,OTHER,63,MERGED_SURVEY_RESPONSE_MATRIX-F1.txt,,A sense of overcoming extreme odds,,,,
44,Default,Group F,OTHER,24,MERGED_SURVEY_RESPONSE_MATRIX-F1.txt,,"it was very exciting and fun to watch, i wanted to see what would happen next",,,it was funny and made me laugh.,
42,Default,Group F,MALE,25,MERGED_SURVEY_RESPONSE_MATRIX-F1.txt,,,,,humored,
17,Default,Group F,FEMALE,31,MERGED_SURVEY_RESPONSE_MATRIX-F1.txt,,some suspense,,,Stressed for the teacher getting ousted as the step instructor at times. I also found the parts about the wet pizza funny.,
107,Default,Group F,MALE,33,MERGED_SURVEY_RESPONSE_MATRIX-F2.txt,,EXCITED,,,JOY,
85,Default,Group F,FEMALE,34,MERGED_SURVEY_RESPONSE_MATRIX-F2.txt,,excitement,,,it made me laugh,
70,Default,Group F,FEMALE,61,MERGED_SURVEY_RESPONSE_MATRIX-F2.txt,,,,,I enjoy step and It reminded me of college. Happy.,
96,Default,Group F,FEMALE,29,MERGED_SURVEY_RESPONSE_MATRIX-F2.txt,,suspense ,,,"I felt happy, joyous, and was humored",
41,Default,Group F,FEMALE,53,MERGED_SURVEY_RESPONSE_MATRIX-F2.txt,,Lots of action made me feel good,,,It made me realize that we shouldn't assume,
11,Default,Group F,FEMALE,30,MERGED_SURVEY_RESPONSE_MATRIX-F2.txt,,,,,It was funny so made me feel happy but also sad at the part where we learn she was having issues with her grandma not being well,
